147	(371, 385, 398, 416)	27x31
148	(403, 385, 430, 416)	27x31
149	(435, 385, 462, 416)	27x31
150	(466, 385, 495, 416)	29x31
151	(503, 392, 539, 416)	36x24
152	(549, 392, 585, 416)	36x24
153	(321, 417, 335, 432)	14x15
154	(337, 417, 351, 432)	14x15
155	(352, 417, 367, 432)	15x15
156	(369, 417, 383, 432)	14x15
157	(385, 417, 399, 432)	14x15
158	(400, 417, 415, 432)	15x15
159	(417, 417, 431, 432)	14x15
160	(433, 417, 447, 432)	14x15
161	(448, 417, 463, 432)	15x15
162	(465, 417, 479, 432)	14x15
163	(481, 417, 495, 432)	14x15
164	(501, 418, 523, 447)	22x29
165	(533, 418, 555, 447)	22x29
166	(571, 420, 581, 444)	10x24
167	(321, 433, 335, 448)	14x15
168	(337, 433, 351, 448)	14x15
169	(352, 433, 367, 448)	15x15
170	(369, 433, 383, 448)	14x15
171	(385, 433, 399, 448)	14x15
172	(400, 433, 415, 448)	15x15
173	(417, 433, 431, 448)	14x15
174	(433, 433, 447, 448)	14x15
175	(448, 433, 463, 448)	15x15
176	(465, 433, 479, 448)	14x15
177	(481, 433, 495, 448)	14x15
